Time,Time Code,Country Name,Country Code,"Population, total [SP.POP.TOTL]",Population growth (annual %) [SP.POP.GROW],"GNI, Atlas method (current US$) [NY.GNP.ATLS.CD]","GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]","Revenue, excluding grants (% of GDP) [GC.REV.XGRT.GD.ZS]",Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],Total debt service (% of GNI) [DT.TDS.DECT.GN.ZS],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",Tax revenue (% of GDP) [GC.TAX.TOTL.GD.ZS],Taxes on exports (% of tax revenue) [GC.TAX.EXPT.ZS],Taxes on goods and services (% of revenue) [GC.TAX.GSRV.RV.ZS],Taxes on goods and services (% value added of industry and services) [GC.TAX.GSRV.VA.ZS],"Taxes on income, profits and capital gains (% of revenue) [GC.TAX.YPKG.RV.ZS]","Taxes on income, profits and capital gains (% of total taxes) [GC.TAX.YPKG.ZS]",Taxes on international trade (% of revenue) [GC.TAX.INTT.RV.ZS]
1961,YR1961,Faroe Islands,FRO,35076,1.32300217871205,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Finland,FIN,4461005,0.705711483663754,..,..,68.8441463414634,5921659485.03284,7.60467047924426,5.34177802217006,..,1.8361815196588,..,1.69100191533953,..,..,..,..,..,..,..
1961,YR1961,France,FRA,47240543,1.31870527066866,..,..,70.1170731707317,67461644222.0352,4.9801118491384,3.2717768399815,..,5.29560753876716,..,2.4004610454632,..,..,..,..,..,..,..
1961,YR1961,French Polynesia,PYF,80706,3.31302106701352,..,..,56.708,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Germany,DEU,73377632,0.769854344284138,..,..,69.508,..,..,..,..,3.80021275365475,..,2.29367579618988,..,..,..,..,..,..,..
1961,YR1961,Gibraltar,GIB,23813,1.66412918722347,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Greece,GRC,8398050,0.792901846960662,..,..,68.5486341463415,4961400439.31722,13.2038411934427,1.09632768020805,..,4.24357000022985,..,2.10356166203512,..,..,..,..,..,..,..
1961,YR1961,Greenland,GRL,33700,3.62577480226244,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Guam,GUM,68072,1.97315286367707,..,..,61.481,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,"Hong Kong SAR, China",HKG,3168100,2.96304092369424,..,..,67.548756097561,1383681651.13776,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Hungary,HUN,10029321,0.453239643988489,..,..,68.9360975609756,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Iceland,ISL,179029,1.94871974343751,..,..,73.5034146341464,253885656.329253,-0.0846619462922718,13.2827254358987,..,0,..,4.71160874619984,..,..,..,..,..,..,..
1961,YR1961,Ireland,IRL,2824400,-0.148593694420762,..,..,69.9782682926829,2088012282.35667,..,..,..,1.32014208497048,..,2.7569993586355,..,..,..,..,..,..,..
1961,YR1961,Isle of Man,IMN,48281,-0.33290974989489,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Israel,ISR,2185000,3.30244804063226,..,..,72.0065853658537,3138500000,11.2038856174685,8.61240977680792,..,7.86501626310083,..,6.78982340440241,..,..,..,..,..,..,..
1961,YR1961,Italy,ITA,50536350,0.668382874410405,..,..,69.760243902439,44842760293.1924,8.20724591384771,2.78215888207643,..,2.57386907530496,..,2.05069731278691,..,..,..,..,..,..,..
1961,YR1961,Japan,JPN,94943000,2.60618832454646,..,..,68.31,53508617739.3778,12.0435364080116,7.78571761614133,..,0.916660202208259,..,5.36846178480054,..,..,..,..,..,..,..
1961,YR1961,"Korea, Rep.",KOR,25765673,2.96724397295283,..,..,56.0149756097561,2417558289.36656,6.93599265224405,12.9120452623061,..,6.72614962251201,..,8.19564895830665,..,..,..,..,..,..,..
1961,YR1961,Kuwait,KWT,300576,11.088145332954,..,..,60.099,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Latvia,LVA,2152681,1.48362675105514,..,..,70.0324390243903,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Liechtenstein,LIE,16893,2.3963286474576,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Lithuania,LTU,2823550,1.60657495946158,..,..,70.1026829268293,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Luxembourg,LUX,316845,0.911525536470683,..,..,68.7377317073171,704145671.350213,3.8299831217405,-3.65861057046024,..,1.1070377732374,..,0.482433590630893,..,..,..,..,..,..,..
1961,YR1961,"Macao SAR, China",MAC,170462,1.57932406686123,..,..,65.301,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Malta,MLT,325250,-0.398895895605156,..,..,69.6143902439024,..,..,..,..,..,..,2.51132153100695,..,..,..,..,..,..,..
1961,YR1961,Mauritius,MUS,680757,3.19493963796123,..,..,59.7483658536585,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Monaco,MCO,22808,1.57316545304179,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Nauru,NRU,4632,5.70822204611162,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Netherlands,NLD,11638712,1.31529458823228,..,..,73.6526829268293,13493833739.9949,0.295546672716611,5.26405818110025,..,4.08728387914001,..,1.30763936682734,..,..,..,..,..,..,..
1961,YR1961,New Caledonia,NCL,81200,2.74673947006107,..,..,59.0390243902439,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,New Zealand,NZL,2419700,1.99944049933518,..,..,70.9853658536585,5670064168.21773,..,..,..,2.48562702120014,..,1.79770429009207,..,..,..,..,..,..,..
1961,YR1961,Northern Mariana Islands,MNP,10245,2.63068967886876,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Norway,NOR,3609800,0.794353922504427,..,..,73.5504878048781,5632460936.54576,6.27333551040729,2.64762523922117,..,3.00420435724296,..,2.15517277670922,..,..,..,..,..,..,..
1961,YR1961,Oman,OMN,564893,2.35594118585393,..,..,43.499,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Palau,PLW,10049,2.80543121046154,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Panama,PAN,1167113,2.96668438892754,..,..,61.38,599026300,10.9265948425097,0.534928519702518,..,..,..,0.613810741946778,..,..,..,..,..,..,..
1961,YR1961,Poland,POL,29964000,1.09578967474124,..,..,67.7780487804878,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Portugal,PRT,8929316,0.805085263650629,..,..,63.6863658536585,3417516639.37596,5.53490347567502,1.41176582428876,..,5.14758434470689,..,1.54899696989872,..,..,..,..,..,..,..
1961,YR1961,Puerto Rico,PRI,2399722,1.75390951961888,..,..,68.9431707317073,1865100000,7.04173846987173,2.98507219661961,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Qatar,QAT,51421,8.17620303597011,..,..,61.851,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Romania,ROU,18555250,0.802690192184129,..,..,66.4158780487805,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,San Marino,SMR,15837,2.59056989061608,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Saudi Arabia,SAU,4218853,3.18648886077397,..,..,46.145,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Seychelles,SYC,42889,2.8114253994075,..,..,..,11592024.3649283,-4.88227636132112,1.45690289023497,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Singapore,SGP,1702400,3.34479340675401,..,..,66.0871951219512,764634783.744937,8.13688771388705,0.332403196137989,..,..,..,0.400000000000126,..,..,..,..,..,..,..
1961,YR1961,Sint Maarten (Dutch part),SXM,3077,8.26188754915252,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Slovak Republic,SVK,4191667,2.99236759278997,..,..,70.2508536585366,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Slovenia,SVN,1594131,0.592102460583273,..,..,68.9780487804878,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Spain,ESP,30739250,0.92901553460921,..,..,69.4804878048781,13834300571.4849,11.8386741948332,2.46638975371481,..,2.03124482602107,..,0.809255325032755,..,..,..,..,..,..,..
1961,YR1961,St. Kitts and Nevis,KNA,51196,-0.00585966111793851,..,..,..,12483229.3064224,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,St. Martin (French part),MAF,3989,2.4360504294951,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Sweden,SWE,7519998,0.471081377263699,..,..,73.4743902439024,17212686614.5726,5.68129280956549,2.93737900542466,..,3.72061333129569,..,2.15797310981959,..,..,..,..,..,..,..
1961,YR1961,Switzerland,CHE,5434294,1.97861505905873,..,..,71.6448780487805,10712712465.0522,..,..,..,2.46907706945766,..,1.8453898853189,..,..,..,..,..,..,..
1961,YR1961,Trinidad and Tobago,TTO,864818,1.96632088351206,..,..,62.652,584961208.656595,14.037070863872,-4.24012171942007,..,..,..,1.5227576978899,..,..,..,..,..,..,..
